类别,条目,详情,来源
跨类型冲突,国际义务,责任名 | 责任话语名,新字典.txt | 新字典2024-04-19-10-00.txt | 新字典2024-04-19.txt | 新字典2024-04-19_副本.txt
跨类型冲突,国际体系,外交与国际关系名 | 治理名,新字典.txt | 新字典2024-04-19-10-00.txt | 新字典2024-04-19.txt | 新字典2024-04-19_副本.txt
跨类型冲突,国际体育仲裁话语权,外交与国际关系名 | 话语名,新字典.txt | 新字典2024-04-19-10-00.txt | 新字典2024-04-19.txt | 新字典2024-04-19_副本.txt
跨类型冲突,国际关系,外交与国际关系名 | 治理名,新字典.txt | 新字典2024-04-19-10-00.txt | 新字典2024-04-19.txt | 新字典2024-04-19_副本.txt
跨类型冲突,国际关系准则,外交与国际关系名 | 话语名,新字典.txt | 新字典2024-04-19-10-00.txt | 新字典2024-04-19.txt | 新字典2024-04-19_副本.txt
跨类型冲突,国际合作,健康名 | 合作话语名,新字典.txt | 新字典2024-04-19-10-00.txt | 新字典2024-04-19.txt | 新字典2024-04-19_副本.txt
跨类型冲突,国际学术话语权,外交与国际关系名 | 话语名,新字典.txt | 新字典2024-04-19-10-00.txt | 新字典2024-04-19.txt | 新字典2024-04-19_副本.txt
跨类型冲突,国际形势,其他名 | 外交与国际关系名,新字典.txt | 新字典2024-04-19-10-00.txt | 新字典2024-04-19.txt | 新字典2024-04-19_副本.txt
跨类型冲突,国际条约,协议名 | 文件名,新字典.txt | 新字典2024-04-19-10-00.txt | 新字典2024-04-19.txt | 新字典2024-04-19_副本.txt
跨类型冲突,国际标准,其他名 | 外交与国际关系名,新字典.txt | 新字典2024-04-19-10-00.txt | 新字典2024-04-19.txt | 新字典2024-04-19_副本.txt
跨类型冲突,国际法,外交与国际关系名 | 技术名,新字典.txt | 新字典2024-04-19-10-00.txt | 新字典2024-04-19.txt | 新字典2024-04-19_副本.txt
跨类型冲突,国际社会,势力名 | 治理名,新字典.txt | 新字典2024-04-19-10-00.txt | 新字典2024-04-19.txt | 新字典2024-04-19_副本.txt
跨类型冲突,国际秩序,外交与国际关系名 | 治理名,新字典.txt | 新字典2024-04-19-10-00.txt | 新字典2024-04-19.txt | 新字典2024-04-19_副本.txt
跨类型冲突,国际责任,责任名 | 责任话语名,新字典.txt | 新字典2024-04-19-10-00.txt | 新字典2024-04-19.txt | 新字典2024-04-19_副本.txt
跨类型冲突,地方政府属地监管责任,责任名 | 责任话语名,新字典.txt | 新字典2024-04-19-10-00.txt | 新字典2024-04-19.txt | 新字典2024-04-19_副本.txt
跨类型冲突,坚决反对,外交与国际关系名 | 话语名,新字典.txt | 新字典2024-04-19-10-00.txt | 新字典2024-04-19.txt | 新字典2024-04-19_副本.txt
